Body,a,P,M,ME,Radius,RE,Type
Mercury,0.38709927,74.8202572,3.30E+23,5.53E-02,2439.4,0.3829,T
Venus,0.72333566,224.700799,4.87E+24,8.15E-01,6051.8,0.9499,T
Earth,1.0000261,365.25636,5.97E+24,1.00E+00,6371.0084,1,T
Mars,1.52371034,686.979586,6.42E+23,1.07E-01,3389.5,0.532,T
Jupiter,5.202887,4332.820129,1.90E+27,3.18E+02,69911,10.9733,G
Saturn,9.53667594,10755.69864,5.68E+26,9.52E+01,58232,9.1402,G
Uranus,19.18916464,30687.153,8.68E+25,1.45E+01,25362,3.9808,I
Neptune,30.06992276,60190.0296,1.02E+26,1.71E+01,24622,3.8647,I
Ceres,2.76661904,1680.824888,9.38E+20,1.57E-04,469.7,0.0737,D
Pluto,39.4450697,90487.2769,1.30E+22,2.18E-03,1188.3,0.1865,D
Eris,68.1175851,205346.493,1.66E+22,2.78E-03,1200,0.1884,D
Haumea,42.9414319,102781.088,3.10E+21,5.19E-04,714,0.1121,D
Makemake,45.2593495,111214.4009,4.01E+21,6.71E-04,715,0.1122,D
Quaoar,43.472038,104691.86,1.40E+21,2.34E-04,555,0.0871,DC
Sedna,532.291301,4485620.005,1.00E+21,1.67E-04,530,0.0832,DC
Orcus,39.116441,89358.82097,6.40E+20,1.07E-04,460,0.0722,DC
Gongong,67.282729,201582.9642,1.75E+21,2.93E-04,615,0.0965,DC
Moon,1.0000261,365.25636,7.35E+22,1.23E-02,1737.4,0.2727,GM
Io,5.202887,4332.820129,8.93E+22,1.50E-02,1821.49,0.2859,GM
Europa,5.202887,4332.820129,4.80E+22,8.03E-03,1560.8,0.245,GM
Ganymede,5.202887,4332.820129,1.48E+23,2.48E-02,2631.2,0.413,GM
Callisto,5.202887,4332.820129,1.08E+23,1.80E-02,2410.3,0.3783,GM
Titan,9.53667594,10755.69864,1.35E+23,2.25E-02,2574.76,0.4041,GM
Triton,30.06992276,60190.0296,2.14E+22,3.58E-03,1352.6,0.2123,GM
Mimas,9.53667594,10755.69864,3.75E+19,6.28E-06,198.2,0.0311,GM
Enceladus,9.53667594,10755.69864,1.08E+20,1.81E-05,252.1,0.0396,GM
Tethys,9.53667594,10755.69864,6.17E+20,1.03E-04,531.1,0.0834,GM
Dione,9.53667594,10755.69864,1.10E+21,1.83E-04,561.1,0.0881,GM
Rhea,9.53667594,10755.69864,2.31E+21,3.86E-04,763.5,0.1198,GM
Iapetus,9.53667594,10755.69864,1.81E+21,3.02E-04,734.3,0.1153,GM
Ariel,19.18916464,30687.153,1.25E+21,2.09E-04,578.9,0.0909,GM
Umbriel,19.18916464,30687.153,1.28E+21,2.14E-04,584.7,0.0918,GM
Titania,19.18916464,30687.153,3.40E+21,5.69E-04,788.9,0.1238,GM
Oberon,19.18916464,30687.153,3.08E+21,5.15E-04,761.4,0.1195,GM
Miranda,19.18916464,30687.153,6.44E+19,1.08E-05,235.8,0.037,GM